	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1		CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2		CNF vs NF	CNF vs NF	CNF vs NF	CNF vs NF	
RELN	2.191670375	0.122474645	0.180756498	3213.347582	 	1.925223777	0.301982929	0.496768219	3213.347582	 	-2.639628442	0.016052667	0.03383331	9460.931479	 
P4HA2	-2.084927804	0.001174216	0.002786671	2460.484296	 	-3.241077503	0.001477043	0.009928839	4164.649711	 	-1.629020163	0.008734211	0.019765971	1911.047582	 
THBS4	-3.744468558	0.012484704	0.023945744	26025.58098	 	-9.522363818	0.000420111	0.003706611	146914.0923	 	-4.731685638	0.000197504	0.000657007	34094.77498	 
KTN1	1.302707236	0.006625844	0.01351608	7389.170439	 	1.21144628	0.250973297	0.442043246	7389.170439	 	-1.210062888	0.017874225	0.037243136	8949.111686	 
FAM114A1	-1.223614316	0.210232381	0.287611714	2598.249719	 	-1.615063719	0.076937239	0.197539228	3494.184226	 	-1.38759575	0.013690981	0.029472495	2950.225799	 
PRRC2C	-1.783885057	8.51E-08	3.94E-07	12678.37279	 	1.002858569	0.987682417	0.99463049	7081.704138	 	1.092838696	0.320384225	0.426578711	7081.704138	 
CTNND1	1.527717516	3.07E-05	9.70E-05	10352.83332	 	1.445262593	0.034506125	0.110784621	10352.83332	 	1.095352919	0.278391503	0.381509548	10352.83332	 
PPIA	1.359678932	0.016140088	0.030239517	15279.5088	 	-1.458918695	0.08203746	0.206874297	22577.21198	 	1.058307917	0.590909603	0.691566948	15279.5088	 
NUCKS1	1.528235312	0.004025751	0.008611104	10921.8106	 	-1.659996252	0.041986441	0.127764597	18504.18939	 	-1.531845427	0.000453818	0.001401535	16828.54223	 
PLXNB3	6.13179912	4.71E-06	1.69E-05	6613.879263	 	6.876956737	0.000704264	0.005542378	6613.879263	 	2.628240307	0.002542332	0.006589534	6613.879263	 
SEC61A1	1.110019982	0.33777098	0.427848328	4926.997279	 	-3.23295101	2.84E-10	3.49E-08	16423.31941	 	-1.772645372	1.98E-10	1.79E-09	8825.56161	 
PDIA4	-3.386389639	2.49E-14	2.61E-13	8552.426665	 	-4.246304372	7.85E-08	3.76E-06	11249.18653	 	-2.175906814	3.86E-09	2.90E-08	5467.555405	 
APLP2	1.500689785	0.010051146	0.019686762	11223.02626	 	-1.735427518	0.037917578	0.118360976	20148.0706	 	-2.603692542	1.82E-13	2.52E-12	29843.06164	 
YBX1	1.549569355	0.000139865	0.000394565	11964.14645	 	-1.396402119	0.08888791	0.219103629	16841.52283	 	-1.100207924	0.314676068	0.420576667	13179.70275	 
ITGA5	-2.072275539	0.002190647	0.004926394	4096.495592	 	-2.501080739	0.017619973	0.067382469	5304.98356	 	-1.532100501	0.028917296	0.056496588	3004.716894	 
PRPF8	-2.727390325	8.95E-24	2.55E-22	17745.22136	 	-1.641582789	0.003757656	0.02043183	10722.13578	 	-1.493666083	1.16E-06	5.90E-06	9692.630784	 
GPNMB	2.603276586	0.005490036	0.011396805	13173.06132	 	-1.817415266	0.249891348	0.440857724	26636.90826	 	1.037368027	0.895802042	0.940715194	13173.06132	 
IQGAP1	-1.347957709	0.050348144	0.083183245	9842.166686	 	-2.393992204	0.000695764	0.005489897	18032.74625	 	-1.632111774	9.90E-05	0.000352179	11940.05857	 
HYOU1	-1.935544507	6.85E-07	2.78E-06	4247.901741	 	-2.225107894	0.000398849	0.00356544	4974.107589	 	-1.906290956	4.29E-09	3.21E-08	4183.792939	 
ENG	2.225684664	0.003057819	0.006686966	4692.145497	 	-1.018694729	0.965657796	0.982079311	4827.187365	 	-1.875096628	0.004469263	0.010890834	9056.677688	 
WNK1	-3.844625304	4.43E-22	1.06E-20	20974.34413	 	-2.765555531	1.66E-05	0.000275995	15415.98766	 	-1.754971939	1.02E-06	5.21E-06	9510.59603	 
ADAM9	-3.088034685	8.20E-11	5.61E-10	6084.716712	 	-3.437743272	2.14E-05	0.000338706	7101.84242	 	-2.291911054	6.72E-09	4.90E-08	4497.445769	 
HMGA1	1.222294564	0.379480088	0.47137929	2393.792784	 	1.129946828	0.743189425	0.849646829	2393.792784	 	1.558770264	0.018030559	0.037518975	2393.792784	 
FMNL2	-1.983349133	9.19E-05	0.000268058	4269.907369	 	-1.855695059	0.034863822	0.111557348	4087.949393	 	-1.687478826	0.000288453	0.000927452	3624.077471	 
PKD1	-1.461736388	0.031404907	0.054645058	13283.26576	 	1.939634995	0.024786939	0.086764992	9147.816335	 	2.676822212	1.27E-11	1.37E-10	9147.816335	 
RPL7	2.721375517	5.12E-13	4.58E-12	31549.0612	 	-1.4937539	0.08762363	0.216613204	47543.44329	 	1.03708209	0.750193238	0.828572371	31549.0612	 
HLA-DOA	1.91282306	0.189365285	0.263065559	787.6686169	 	-2.474114956	0.150529593	0.312442258	3209.352977	 	-3.951409914	0.000474374	0.001461263	3972.734001	 
SLC27A4	1.204505531	0.257635224	0.341082828	1143.263524	 	2.011542604	0.01178519	0.04975321	1143.263524	 	2.048413921	1.38E-07	8.11E-07	1143.263524	 
NUCB1	1.308086988	0.039807791	0.067451868	4950.118266	 	-2.057626964	0.001150187	0.008187193	10456.78756	 	-1.470461928	0.000350074	0.001105707	7341.190107	 
CSNK1A1	1.758216918	4.97E-05	0.000152367	5769.489254	 	-1.056583069	0.815427132	0.894761512	6115.223604	 	-1.309993951	0.018643986	0.038622145	7585.725852	 
ARHGAP5	-2.705858755	1.08E-07	4.93E-07	7304.792967	 	-1.355256313	0.329896009	0.52624258	3668.739682	 	-2.223305217	2.24E-07	1.27E-06	5982.654788	 
CRTAP	1.772820859	2.06E-07	9.02E-07	6964.973172	 	-1.671542935	0.006371484	0.031019117	11789.72926	 	-1.625870128	9.37E-08	5.70E-07	11377.52827	 
ZFYVE16	-2.061686043	8.67E-09	4.60E-08	3528.673037	 	-1.203380955	0.387780265	0.579827914	2059.661109	 	-1.66951795	8.23E-07	4.27E-06	2852.929525	 
ST6GALNAC2	4.276974132	0.000190238	0.00052341	1622.869782	 	3.140235381	0.042209614	0.12827512	1622.869782	 	-2.010810808	0.026525028	0.052325176	3120.862652	 
MICALL1	1.030417187	0.862069089	0.903598406	2014.364229	 	2.696192995	0.000623692	0.005045606	2014.364229	 	3.110655648	1.79E-15	3.19E-14	2014.364229	 
ADAM10	1.243149836	0.099336863	0.150884738	3224.719668	 	-1.969519351	0.002510261	0.014968285	6530.695604	 	-1.942926536	1.11E-09	9.05E-09	6347.404339	 
RND3	1.977686492	0.008569823	0.017037334	1922.561111	 	-2.282165187	0.047222932	0.139254377	5063.804018	 	-3.540826168	2.69E-09	2.07E-08	7415.062623	 
SERF2	2.105433699	3.37E-08	1.65E-07	7377.900127	 	-1.7514525	0.014303884	0.057524331	13170.88035	 	-1.053640669	0.638712736	0.73400264	7792.081244	 
WDR1	-1.277896746	0.109905407	0.164501116	6328.707818	 	-1.502728852	0.115516481	0.263090343	7544.715338	 	-1.472228293	0.002235424	0.005876461	7301.717224	 
IGFBP7	6.570388442	2.54E-16	3.38E-15	27073.20085	 	1.816231537	0.111214421	0.256139282	27073.20085	 	-1.567403476	0.017193064	0.035944083	41990.81928	 
ABHD2	1.786683195	0.010337151	0.02018583	3556.687102	 	-2.696532924	0.007290598	0.034399827	10740.64928	 	-2.021992923	0.000151754	0.000518348	7504.736426	 
AP2M1	-1.146814409	0.151400484	0.21728857	6016.413959	 	-1.854191824	0.000162783	0.001755311	9811.825552	 	-1.60686217	1.89E-09	1.48E-08	8440.595832	 
SREBF1	1.144898983	0.620185443	0.700907066	3556.175853	 	1.772102237	0.187566959	0.364408739	3556.175853	 	1.060091382	0.794036764	0.863165999	3556.175853	 
UTRN	-3.448268285	3.47E-12	2.80E-11	17233.42287	 	-1.295856434	0.383522081	0.576118488	6454.572279	 	-2.005482445	2.06E-06	9.93E-06	9945.566121	 
NDST1	1.815086156	0.00066774	0.001664304	5011.257946	 	1.590969866	0.113343674	0.260008624	5011.257946	 	-1.300957413	0.068314704	0.11890562	6549.957353	 
JUND	1.44498014	0.186699539	0.260037104	3028.959617	 	-1.50467636	0.354717939	0.548822304	4955.388695	 	-2.254958679	0.00036327	0.001143307	7222.490131	 
ITPRIPL2	1.510821159	0.015703129	0.029509601	4330.074766	 	-1.569132833	0.115531189	0.263090343	6935.356088	 	-1.202523253	0.190152827	0.279365862	5209.137242	 
CD151	2.153188033	6.58E-07	2.68E-06	4323.083846	 	-1.3317702	0.270516512	0.463305622	5868.218369	 	-1.175374738	0.203848877	0.29609934	5129.017429	 
TMBIM1	4.927409651	1.46E-26	5.37E-25	5305.109813	 	1.122295162	0.647619853	0.786509926	5305.109813	 	-1.104001258	0.422048577	0.530962302	5835.908727	 
NFIC	2.420168893	3.99E-06	1.44E-05	8284.17982	 	2.634640941	0.002357542	0.014241027	8284.17982	 	1.587932176	0.00337286	0.008450489	8284.17982	 
KLC1	1.454519171	0.001372121	0.003211482	5873.898687	 	1.905046814	0.001272567	0.008893699	5873.898687	 	1.497793546	2.99E-05	0.000118102	5873.898687	 
EMC10	1.492441305	0.17247517	0.243095608	3365.429681	 	1.042656747	0.927673019	0.958668406	3365.429681	 	1.153559225	0.551435256	0.654411667	3365.429681	 
FLOT1	-1.067948015	0.696882822	0.767474606	2986.431963	 	-1.945548673	0.018712533	0.070430567	5614.775649	 	-1.50883778	0.003108767	0.007864975	4237.595766	 
KLF9	8.83677271	2.64E-09	1.51E-08	3794.821835	 	1.535617859	0.428008907	0.61667576	3794.821835	 	-2.184508722	0.00846731	0.019226636	8411.674607	 
MAP7D1	1.077389223	0.688352891	0.760221109	3872.54728	 	1.132130144	0.68860878	0.812889231	3872.54728	 	1.239243044	0.161153821	0.243526156	3872.54728	 
ACTR2	1.67730386	3.68E-06	1.34E-05	6467.787437	 	-2.500575299	1.55E-06	4.12E-05	16563.31496	 	-1.912633126	2.10E-12	2.54E-11	12473.11443	 
MRFAP1	2.1252793	2.05E-13	1.94E-12	6344.974344	 	-1.354147853	0.084372009	0.211118906	8648.565135	 	-1.508878979	1.22E-06	6.17E-06	9604.721206	 
PDGFRB	2.10455283	0.004677199	0.009869001	8786.92806	 	-1.233163393	0.618466351	0.76468035	11059.97688	 	-1.329726092	0.186015878	0.274342428	11723.39443	 
PPIB	1.232588468	0.15166637	0.217558778	5243.370665	 	-3.993230467	1.96E-08	1.22E-06	22271.32364	 	-1.63452768	4.44E-05	0.000169711	8719.732246	 
PEPD	1.542759718	0.017127703	0.031845108	1619.192294	 	-1.14756357	0.650250026	0.788135847	1883.641348	 	-1.238796443	0.152978508	0.233162259	2024.247225	 
ERBB2	1.011312724	0.951941374	0.970702483	5381.512291	 	1.650797698	0.106965743	0.249185902	5381.512291	 	1.425173314	0.021184314	0.043151142	5381.512291	 
COL15A1	4.05550531	0.002657043	0.005877014	13063.06473	 	1.729701733	0.37490746	0.567809102	13063.06473	 	-1.376780878	0.390812179	0.500157513	14937.29826	 
BIN1	-1.889577876	0.010966129	0.021285553	2587.23871	 	-1.473852308	0.336342293	0.532526448	2068.624954	 	-2.254157361	7.46E-05	0.000272048	3101.619544	 
CADM4	2.411184131	0.053380804	0.087449625	2428.295426	 	1.747454973	0.361642693	0.554664817	2428.295426	 	-2.111742239	0.040533902	0.075809213	5696.575037	 
ARPC5	2.75538079	1.22E-15	1.51E-14	3909.969239	 	-1.40406857	0.115077875	0.262537601	5557.242976	 	-1.50493259	9.20E-05	0.000329443	5919.081397	 
CTDSP2	2.901892168	9.73E-17	1.34E-15	8216.391769	 	-1.368954494	0.14967147	0.311223194	11319.43873	 	-1.134139487	0.234283035	0.33140187	9303.957846	 
LARP1	-1.227305862	0.018566134	0.034186972	5792.913482	 	-1.266861891	0.113842837	0.260674042	5992.272271	 	-1.076185016	0.308091819	0.41345219	5077.624171	 
PCBP2	2.529128743	2.86E-07	1.23E-06	12503.75553	 	1.084398532	0.788300604	0.878841921	12503.75553	 	-1.123232547	0.435002229	0.543882136	13987.0067	 
TNFRSF12A	-1.539015191	0.072984942	0.115261384	1334.236577	 	-1.594621578	0.231533665	0.419597262	1433.080618	 	1.051311097	0.800087928	0.867932643	822.7257677	 
H1F0	1.546997243	0.018569839	0.034190052	6086.387153	 	-1.16954623	0.612030404	0.760264946	7148.649449	 	1.033901771	0.82707873	0.888177573	6086.387153	 
NAV2	-8.532990166	5.09E-29	2.34E-27	4662.617344	 	-2.479355188	0.004406123	0.023162515	1384.299104	 	-1.74801285	0.000417668	0.001299677	930.3270538	 
IL6ST	3.129214261	1.70E-14	1.82E-13	14499.04709	 	-1.104984712	0.691067916	0.813823085	16035.66205	 	-1.769488886	3.25E-06	1.52E-05	25724.88549	 
SH3BGRL3	2.144506209	6.16E-05	0.000185106	2845.503181	 	-2.08351846	0.020343357	0.075018155	6291.457601	 	-1.121056926	0.465964523	0.573093771	3240.861342	 
GJA1	3.19142588	1.05E-05	3.58E-05	11733.732	 	-1.223873229	0.631468612	0.774899528	14303.02296	 	2.430246175	3.85E-05	0.000149034	11733.732	 
AKAP13	-2.460139558	1.20E-09	7.09E-09	14714.32403	 	-1.624446619	0.052504461	0.15117595	9806.994479	 	-1.313256811	0.025683642	0.050916217	7806.718506	 
PLXNB2	-2.665613001	1.88E-09	1.09E-08	18549.74216	 	-1.968040498	0.013582485	0.055476646	13957.80113	 	-1.144605368	0.315477905	0.42144741	7885.611347	 
RPSA	2.4586649	1.07E-09	6.37E-09	18797.66323	 	-1.084559772	0.744734104	0.850752983	20393.19126	 	1.244381913	0.072336949	0.124949691	18797.66323	 
MXRA7	1.101325087	0.483168507	0.574142371	4575.22471	 	-2.05039658	0.002091199	0.012975523	9689.952053	 	-1.891775706	1.99E-08	1.35E-07	8783.562036	 
SF3B1	1.299264826	0.018214833	0.033613702	13638.58179	 	-1.011771669	0.950745548	0.972712145	13780.9302	 	1.202682754	0.043926542	0.081294071	13638.58179	 
ATF4	1.513673383	0.004415192	0.009356067	7681.044678	 	1.657390024	0.040326659	0.123712695	7681.044678	 	1.268606591	0.047682596	0.087265896	7681.044678	 
ETS1	3.382315768	2.63E-09	1.50E-08	4889.907723	 	1.125699781	0.726130388	0.83820076	4889.907723	 	-1.356184673	0.070247731	0.121891735	6619.143393	 
DIP2B	-2.001072264	1.94E-05	6.32E-05	5064.934086	 	1.395804933	0.222666778	0.409527969	2502.461489	 	-1.165712785	0.25242151	0.352462953	2931.38332	 
TPM3	1.413497742	0.003866585	0.008294909	6584.975079	 	-1.676516954	0.011379293	0.048507156	11224.08201	 	-1.637269952	6.22E-07	3.29E-06	10859.41655	 
TMEM30A	2.041510221	3.00E-12	2.44E-11	5298.6086	 	-2.335050859	1.26E-06	3.48E-05	12604.93092	 	-2.098609509	1.70E-18	4.42E-17	11198.80995	 
SGCB	2.621335065	3.66E-11	2.61E-10	2758.305909	 	-1.933797331	0.007369277	0.034709057	5492.229217	 	-1.954805958	2.37E-08	1.58E-07	5456.813295	 
CD99L2	2.630527212	1.75E-11	1.30E-10	2331.727601	 	-1.128196355	0.620095871	0.766114788	2652.789076	 	-1.592172838	8.78E-05	0.000315564	3742.770391	 
LOXL3	-1.287098548	0.369245943	0.460776637	3525.576288	 	-1.357912394	0.491271989	0.667788739	3850.719297	 	1.298312557	0.256347857	0.356588752	2683.597357	 
SFPQ	-1.256245249	0.113238102	0.168768421	14365.02971	 	1.40350717	0.164443043	0.332683609	11471.49933	 	1.74998987	2.51E-06	1.19E-05	11471.49933	 
FKBP9	-1.398218454	0.013258531	0.025323102	7788.290575	 	-3.620122451	2.10E-08	1.27E-06	20913.62012	 	-1.483206383	0.000417891	0.001300101	8264.912799	 
ADAR	-1.518030724	1.36E-05	4.55E-05	9861.253367	 	-1.4015019	0.040303291	0.123687831	9135.983932	 	-1.7363903	3.51E-12	4.15E-11	11285.02018	 
CAPNS1	2.109834701	1.25E-10	8.38E-10	3301.081892	 	-2.293361849	2.72E-05	0.00040744	7771.221976	 	-2.388051093	1.02E-19	3.09E-18	7983.464281	 
COPA	-2.001435801	1.12E-09	6.65E-09	11084.33146	 	-1.766430052	0.00344337	0.019144664	9864.70461	 	-1.454915109	6.80E-05	0.000250517	8043.049823	 
STAT6	2.054244705	0.000115279	0.00033036	7995.459118	 	2.519419037	0.002970182	0.017021831	7995.459118	 	1.756517948	0.000248108	0.000809333	7995.459118	 
PDLIM7	-1.061649923	0.756744315	0.818921801	2891.899712	 	1.50536467	0.202532576	0.384361294	2716.468869	 	1.714452124	0.00070422	0.002084159	2716.468869	 
PGAM1	-1.329970333	0.05539315	0.090373207	6230.72921	 	-1.745050726	0.026831493	0.092248198	8324.348775	 	-1.183339128	0.170488643	0.25522461	5537.794077	 
MYOF	-1.3316797	0.294278099	0.382050432	5659.012351	 	-1.005571299	0.989790416	0.995688243	4232.810157	 	-1.566002789	0.044823322	0.082708003	6691.823834	 
EHD2	-1.130676668	0.555401468	0.642145961	4135.118245	 	-2.035666876	0.03844622	0.119619484	7830.877121	 	-1.650130156	0.003452599	0.008624575	6080.098708	 
YWHAB	2.686217741	4.69E-38	5.15E-36	7138.316402	 	-1.353600345	0.02157525	0.078496573	9694.490573	 	-1.613936307	3.97E-14	5.93E-13	11539.29142	 
SRGAP2	2.187195337	4.93E-07	2.04E-06	2675.628668	 	-1.054866927	0.838653307	0.907589086	2830.346284	 	-1.619560608	0.000171069	0.000577404	4358.275573	 
NAP1L1	1.779154827	3.87E-10	2.43E-09	7747.526543	 	-1.298567837	0.098105419	0.234893562	10113.72525	 	-1.582374598	1.61E-09	1.28E-08	12298.37815	 
PRNP	5.915864518	9.83E-19	1.69E-17	13425.18564	 	1.221367922	0.54782488	0.711654202	13425.18564	 	-1.558892417	0.007276525	0.016852639	20794.49427	 
NAMPT	-1.132639243	0.625605249	0.705515266	1949.422654	 	-4.64045801	0.000183001	0.001926406	9413.28781	 	-2.313716666	6.10E-05	0.000227176	4068.896602	 
CADM1	1.638750526	0.240856558	0.322349522	8191.883143	 	-1.005115031	0.993088627	0.997396504	8191.883143	 	-1.186710851	0.613726832	0.712117818	8743.406677	 
RPL19	3.433100935	3.60E-26	1.27E-24	18245.34283	 	-1.236805428	0.28502587	0.478605253	22634.37339	 	-1.083057073	0.407026726	0.515998732	19733.58068	 
CBX5	2.277071578	6.22E-09	3.37E-08	5099.503815	 	-1.246138488	0.358804657	0.552035986	6400.69026	 	-1.186912267	0.142476285	0.219885176	6060.176247	 
PLOD3	-2.536081389	2.98E-09	1.69E-08	5457.085221	 	-2.322679703	0.001431514	0.009687078	5122.698578	 	-1.251548121	0.083119152	0.140557111	2672.2443	 
FNDC3B	-2.096969776	3.53E-05	0.000110687	5263.224806	 	-2.498929108	0.002195471	0.013501255	6521.635131	 	-1.709059814	0.000280083	0.000903247	4276.61004	 
LAMA4	-1.005794001	0.988786972	0.997445455	10933.98215	 	-1.270097525	0.68082481	0.808005836	15034.25481	 	-2.07958656	0.027200398	0.053525622	24182.74566	 
SDF4	-1.099321111	0.535790172	0.623845961	4360.34528	 	-1.467318738	0.137303592	0.294504939	5902.425549	 	-1.119032834	0.372745576	0.481727974	4438.644538	 
ECM1	1.614179349	0.053238064	0.087263521	2987.567974	 	1.674478471	0.197616855	0.378042537	2987.567974	 	-1.051327214	0.805409847	0.871909703	3145.459608	 
MAN2A2	3.362990625	1.15E-08	6.00E-08	6713.980749	 	2.666680168	0.005050163	0.025855288	6713.980749	 	1.459397417	0.030480744	0.059204946	6713.980749	 
RPS11	4.672766092	2.30E-25	7.49E-24	24053.63504	 	-1.172987041	0.523799308	0.693053749	28179.45968	 	1.084929617	0.504588079	0.611167139	24053.63504	 
SLC38A2	2.043053406	0.000133529	0.000378022	8465.843326	 	1.012792806	0.96743624	0.982868497	8465.843326	 	1.192631165	0.252611087	0.352644909	8465.843326	 
PCBP1	1.416167272	0.018701064	0.034409058	5967.893054	 	-1.562769255	0.07419001	0.192630167	9504.483984	 	-1.363748198	0.011032964	0.024329806	8182.508666	 
ZBTB4	2.104064227	8.23E-08	3.83E-07	4160.991552	 	1.418140487	0.137684277	0.295094915	4160.991552	 	-1.286416463	0.027793591	0.05457161	5354.749752	 
PCDH1	2.163206453	0.145689883	0.210168809	2042.132439	 	1.959786477	0.292517104	0.487305245	2042.132439	 	1.062167125	0.885507629	0.933109004	2042.132439	 
HNRNPH1	2.674950271	2.14E-14	2.26E-13	16595.54639	 	2.046177363	0.001076651	0.007793339	16595.54639	 	2.611456439	1.74E-19	5.07E-18	16595.54639	 
PRDX1	2.145262003	0.000874199	0.002129348	4322.52064	 	-1.26860809	0.524753161	0.693608121	5673.515281	 	-1.037183782	0.846282311	0.903091313	4541.034474	 
DLG1	-1.028170183	0.860129252	0.902127331	3004.108545	 	1.028261135	0.916471483	0.952664832	2914.59543	 	-1.015032378	0.908682565	0.950384433	2965.047431	 
ASPH	-1.311562468	0.155928124	0.222722303	7028.602633	 	-1.384210669	0.306096489	0.500646463	7537.996671	 	-1.627308463	0.001969947	0.005262474	8751.133627	 
ANO6	-1.887537517	3.48E-06	1.27E-05	6392.263344	 	-1.627519953	0.035997974	0.114216751	5569.088736	 	-2.577680784	5.32E-17	1.16E-15	8752.502453	 
TPP1	1.832730582	0.000444798	0.001144767	3030.110664	 	-3.421329143	2.05E-05	0.000326359	11246.64218	 	-3.58287002	2.64E-19	7.50E-18	11262.98745	 
CERS2	1.023585954	0.88568989	0.921808061	2309.235414	 	-1.830921817	0.026550029	0.091474559	4411.164257	 	-2.188107403	4.71E-09	3.51E-08	5177.913154	 
SCRN1	-2.268592774	0.004190891	0.008929136	3564.266913	 	-6.535000619	3.12E-05	0.000453081	12816.67614	 	-3.657613958	2.96E-08	1.95E-07	5849.880713	 
SLC44A2	1.826372845	0.000239161	0.000644932	6346.579293	 	1.384542948	0.237770675	0.426938768	6346.579293	 	-1.141752381	0.326641736	0.433098183	7234.239017	 
PDE4DIP	-1.814818353	1.26E-05	4.25E-05	4717.8809	 	-1.457684983	0.10383399	0.244370004	3815.850483	 	-1.256571906	0.042842879	0.079567374	3256.418966	 
USP9X	-3.529130756	5.09E-11	3.57E-10	13216.9113	 	-1.677479873	0.104872796	0.246115466	6357.906761	 	-1.898342465	5.00E-05	0.000189527	7036.731413	 
NFKBIZ	-1.123961759	0.701512847	0.771563208	1406.62156	 	1.812131708	0.210239549	0.394369487	1259.51901	 	1.549123895	0.078860214	0.134336698	1259.51901	 
CDC42EP1	2.132618627	0.000430517	0.001112098	2454.901311	 	2.214980253	0.024626939	0.08637282	2454.901311	 	1.34495289	0.09384471	0.155550821	2454.901311	 
CREB3L2	1.789411111	0.004139758	0.008830259	3587.444042	 	-1.350932539	0.369860114	0.562741539	5030.306629	 	-2.17291633	3.32E-06	1.55E-05	8032.237139	 
SEL1L	1.015812263	0.891487247	0.925724065	2961.386703	 	-2.015135257	0.000356719	0.00324612	6101.967923	 	-2.323228855	7.10E-19	1.93E-17	6961.574203	 
TBC1D9B	-1.509846115	0.000339437	0.000894405	8176.540734	 	1.069193879	0.733400187	0.842500137	5395.409232	 	-1.111727044	0.265069776	0.36635784	6009.591879	 
RPS4X	2.996356561	1.40E-14	1.51E-13	28367.41419	 	-1.167376156	0.521391753	0.691279134	33137.89249	 	-1.089144819	0.467800475	0.575057462	30775.15014	 
PRRC2B	-1.419247746	0.006778443	0.013785566	11087.7809	 	1.052627845	0.815593587	0.894822994	7787.682499	 	-1.032480611	0.764679429	0.840093627	8047.180735	 
NFKBIA	1.067050187	0.822769735	0.872354799	2857.183876	 	1.413508206	0.447463614	0.63193123	2857.183876	 	-1.503969226	0.084863069	0.142957324	4376.773004	 
FSTL1	2.455228294	0.001271443	0.002996692	23135.06341	 	-3.135690363	0.009624622	0.042677498	87117.87356	 	-2.085926074	0.001263287	0.003530026	51063.83328	 
BRD2	1.210191545	0.028898403	0.050777501	8071.923116	 	1.23045354	0.167216252	0.336655129	8071.923116	 	1.264884259	0.001145593	0.003236099	8071.923116	 
TEX2	-1.956443284	4.70E-07	1.96E-06	3014.435529	 	-1.450188883	0.100777422	0.239416546	2248.64644	 	-1.472993712	0.000438044	0.001357057	2264.823129	 
HSPB1	3.14012518	4.97E-06	1.77E-05	12597.20528	 	1.693316367	0.192257156	0.371073173	12597.20528	 	2.355058499	3.06E-05	0.000121095	12597.20528	 
ITGA7	2.777907735	0.004239653	0.009018177	3251.867451	 	5.253016696	0.001848913	0.011844007	3251.867451	 	1.165451879	0.597603387	0.697666308	3251.867451	 
SRSF5	3.415850208	1.95E-16	2.62E-15	18918.21843	 	9.352569359	9.20E-19	1.86E-15	18918.21843	 	3.748436036	7.93E-27	5.35E-25	18918.21843	 
BAG6	-1.666587184	2.46E-11	1.80E-10	7923.396903	 	-1.416891202	0.008221738	0.037811325	6751.493624	 	1.105534503	0.11385272	0.182648693	4743.690316	 
NONO	-1.238708286	0.029198166	0.051250673	8837.810213	 	-1.380162049	0.055527506	0.157248697	9891.522593	 	-1.019192372	0.814841935	0.879078031	7266.179041	 
USP22	-1.129965273	0.132570532	0.193617904	5964.304686	 	-1.741344969	7.21E-05	0.000919932	9241.129561	 	-1.481996565	4.87E-09	3.61E-08	7827.402368	 
MYO5A	1.331036724	0.044942178	0.075159838	2670.606584	 	-1.027538076	0.910474071	0.949584794	2759.18657	 	-1.607851122	5.45E-05	0.000204729	4330.610277	 
ANKRD11	-1.211675096	0.053772087	0.087993065	8883.032016	 	2.019507071	3.93E-05	0.000552225	7349.488934	 	2.083860203	5.23E-19	1.45E-17	7349.488934	 
CDC42SE1	4.631157899	5.35E-52	1.84E-49	4371.911236	 	1.785132528	0.000815878	0.006222557	4371.911236	 	1.022726573	0.787503009	0.858227068	4371.911236	 
CST3	4.600336715	2.58E-05	8.24E-05	12885.24301	 	1.258774762	0.668758496	0.799933758	12885.24301	 	-1.794755275	0.046845861	0.085968416	23797.86881	 
TSPAN3	1.036145397	0.813422878	0.864832656	3926.801611	 	-2.734453593	7.47E-05	0.000941677	11280.97507	 	-1.991746522	2.82E-08	1.86E-07	7964.328043	 
SMG1	-1.859727503	3.96E-05	0.000123192	10744.0042	 	1.360846447	0.227028326	0.414632418	5749.837558	 	1.443848361	0.003197793	0.008064758	5749.837558	 
SBF1	-1.395686589	0.029425231	0.051595388	5793.526023	 	1.898900625	0.013164228	0.054205446	4155.862401	 	2.122560525	2.65E-09	2.04E-08	4155.862401	 
HNRNPUL1	-1.044341451	0.71662085	0.784552343	7202.54841	 	-1.519143116	0.040169265	0.123416734	10578.98019	 	-1.098067348	0.343408826	0.450354234	7575.250903	 
KLF13	11.21595126	2.88E-54	1.13E-51	5977.246702	 	1.611389019	0.068914919	0.18306902	5977.246702	 	1.179019462	0.199170151	0.290406829	5977.246702	 
EIF5	1.238048655	0.053253799	0.087280807	5749.245065	 	-1.136461488	0.498172163	0.672231566	6562.996181	 	-1.497026497	9.85E-06	4.23E-05	8640.454985	 
MTDH	-1.559486582	3.14E-08	1.55E-07	6160.323302	 	-2.531558545	1.75E-11	3.59E-09	10085.67571	 	-1.387858698	8.33E-07	4.32E-06	5480.164259	 
CD99	4.0460493	5.03E-13	4.51E-12	7647.0893	 	-1.454849443	0.242977753	0.432954463	11341.72124	 	1.163703252	0.340928537	0.447729919	7647.0893	 
G3BP1	-1.069946731	0.579195247	0.664494193	3949.138696	 	-1.423433276	0.089247518	0.219856289	5298.201516	 	-1.23217092	0.038224543	0.072179026	4552.39263	 
SECISBP2L	1.163463416	0.233423029	0.314217982	3342.042696	 	1.022575289	0.917807917	0.953140399	3342.042696	 	-1.998121536	4.16E-11	4.15E-10	6726.351937	 
